barrio,n_ventas,venta_med,venta_m2,alq_est,rent_bruta,rent_neta
constitucion,113,65000.0,1128.84,569.79,10.19,8.25
san cristobal,227,88000.0,1548.39,603.04,8.63,6.99
liniers,150,119500.0,1408.71,767.165,8.379999999999999,6.785
balvanera,528,84950.0,1493.225,580.25,8.305,6.725
barracas,166,110000.0,1532.57,738.12,8.215,6.65
san nicolas,225,85000.0,1616.16,605.0,8.2,6.64
san telmo,177,95000.0,1720.69,653.74,8.18,6.62
flores,488,119950.0,1516.03,768.2149999999999,8.094999999999999,6.555
monserrat,248,85250.0,1589.9650000000001,595.61,8.065,6.529999999999999
villa luro,140,126000.0,1600.575,802.27,8.004999999999999,6.48
floresta,133,107900.0,1400.56,667.86,7.89,6.39
villa santa rita,102,127400.0,1680.865,762.87,7.77,6.289999999999999
parque chacabuco,201,130000.0,1583.28,798.23,7.6,6.15
villa del parque,274,139000.0,1863.52,818.875,7.32,5.93
villa pueyrredon,110,159500.0,1746.68,934.1,7.32,5.925
almagro,537,119000.0,1931.27,689.18,7.25,5.87
villa crespo,378,119250.0,2126.33,693.1400000000001,7.165,5.8
villa devoto,351,197000.0,2077.39,1142.72,7.15,5.79
caballito,848,145000.0,2077.785,812.49,6.805,5.51
chacarita,106,129000.0,2174.985,660.99,6.66,5.390000000000001
retiro,150,105000.0,2075.605,547.655,6.585,5.335
saavedra,242,152100.0,2321.255,808.815,6.550000000000001,5.305
recoleta,571,169000.0,2333.33,849.94,6.38,5.17
colegiales,207,169900.0,2500.0,874.66,6.34,5.13
nunez,327,170000.0,2781.99,845.36,6.23,5.04
belgrano,565,175000.0,2577.0,900.45,6.22,5.04
villa urquiza,438,159450.0,2323.4750000000004,772.5550000000001,6.154999999999999,4.984999999999999
palermo,1102,163250.0,2720.125,804.21,6.12,4.95
coghlan,80,134870.5,2303.04,649.605,6.085,4.925000000000001
