portal,id_aviso,url,fecha_scraping,operacion,tipo_propiedad,precio_valor,precio_moneda,precio_texto,expensas_valor,expensas_moneda,direccion,calle,altura,piso,barrio,barrio_raw,comuna,localidad,latitud,longitud,sup_total_m2,sup_cubierta_m2,ambientes,dormitorios,banos,cocheras,antiguedad_anios,es_a_estrenar,precio_m2,titulo,descripcion,detalles,amenities,pileta,parrilla,gimnasio,sum,losa_radiante,aire_acondicionado,apto_credito,apto_profesional,cochera_txt,baulera,seguridad,luminoso,balcon,a_reciclar,reciclado,credito_uva,frente,amoblado,patio_jardin,ascensor,profesional_renta
argenprop,18799423,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423,2026-08-13T15:44:44+00:00,venta,departamento,2400000.0,USD,USD 2.400.000 + $2.200.000 expensas,2200000.0,ARS,Jerónimo Salguero 2700,Jerónimo Salguero,2700,,palermo,"Departamento en Venta en Palermo Chico, Palermo",14,Capital Federal,,,300.0,300.0,,3.0,,,17.0,0.0,8000.0,TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO!,,300 m² cubie. 3 dorm. 17 años,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
argenprop,19974218,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-2-ambientes--19974218,2026-08-13T15:44:44+00:00,venta,departamento,175000.0,USD,USD 175.000 + $250.000 expensas,250000.0,ARS,Juan Francisco Seguí 3900,Juan Francisco Seguí,3900,,palermo,"Departamento en Venta en Palermo Chico, Palermo",14,Capital Federal,,,90.0,90.0,2.0,1.0,,,40.0,0.0,1944.44,IMPECABLE 2 AMBIENTES! ESPECTACULAR PATIO PROPIO CON JARDÍN! Todo a nuevo! Muy luminoso! ÚNICO! OPORT!,,90 m² cubie. 1 dorm. 40 años,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
argenprop,10043598,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--10043598,2026-08-13T15:44:44+00:00,venta,departamento,800000.0,USD,USD 800.000,,,"República Árabe Siria 3100, Piso 1",República Árabe Siria,3100,1,palermo,"Departamento en Venta en Palermo Chico, Palermo",14,Capital Federal,,,171.0,171.0,,3.0,,,0.0,1.0,4678.36,BOHO BOTANICO,,171 m² cubie. 3 dorm. En pozo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argenprop,16138779,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-3-ambientes--16138779,2026-08-13T15:44:44+00:00,venta,departamento,140000.0,USD,USD 140.000 + $358.000 expensas,358000.0,ARS,Ugarteche 3000,Ugarteche,3000,,palermo,"Departamento en Venta en Palermo Chico, Palermo",14,Capital Federal,,,60.0,60.0,,2.0,,,40.0,0.0,2333.33,IMPECABLE! Balcón al contrafrente al pulmón de manzana! Muy luminoso! Excelente distribución! Lavadero! ÚNICO! OPORT,,60 m² cubie. 2 dorm. 40 años,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
argenprop,19548301,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19548301,2026-08-13T15:44:44+00:00,venta,departamento,69900.0,USD,USD 69.900 + $165.000 expensas,165000.0,ARS,Avenida Santa Fe 4400,Avenida Santa Fe,4400,,palermo,"Departamento en Venta en Palermo, Capital Federal",14,Capital Federal,,,,,1.0,,1.0,,50.0,0.0,,Monoambiente Apto Profesional con Vista Abierta al Río- A metros de Plaza Italia-,,50 años 1 baño Monoam.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
argenprop,19622671,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19622671,2026-08-13T15:44:44+00:00,venta,departamento,155000.0,USD,USD 155.000 + $55.000 expensas,55000.0,ARS,Nicaragua 4400,Nicaragua,4400,,palermo,"Departamento en Venta en Palermo, Capital Federal",14,Capital Federal,,,,,3.0,2.0,2.0,,,,,DEPARTAMENTO 3 AMBIENTES CON BALCÓN + DEPENDENCIA- EXCELENTE DISTRIBUCIÓN,,2 dorm. 2 baños 3 ambientes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
argenprop,20075391,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--20075391,2026-08-13T15:44:44+00:00,venta,departamento,340000.0,USD,USD 340.000 + $320.000 expensas,320000.0,ARS,"Arévalo 1900, Piso 7",Arévalo,1900,7,palermo,"Departamento en Venta en Palermo Hollywood, Palermo",14,Capital Federal,,,90.0,90.0,,2.0,,1.0,17.0,0.0,3777.78,Duplex 90m2 Palermo Hollywood C/ Balcón Terraza y Cochera,,90 m² cubie. 2 dorm. 17 años,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
argenprop,19829078,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19829078,2026-08-13T15:44:44+00:00,venta,departamento,135000.0,USD,USD 135.000 + $124.000 expensas,124000.0,ARS,Santa Rosa 5100,Santa Rosa,5100,,palermo,"Departamento en Venta en Palermo Soho, Palermo",14,Capital Federal,,,46.0,46.0,,2.0,,,54.0,0.0,2934.78,"Departamento - Venta - Argentina, Capital Federal - SANTA ROSA 5100",,46 m² cubie. 2 dorm. 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argenprop,20180824,https://www.argenprop.com/departamento-en-venta-en-barrio-parque-5-ambientes--20180824,2026-08-13T15:44:44+00:00,venta,departamento,1120000.0,USD,USD 1.120.000 + $1.400.000 expensas,1400000.0,ARS,Tagle 2800,Tagle,2800,,palermo,"Departamento en Venta en Barrio Parque, Palermo",14,Capital Federal,,,,,,3.0,3.0,,50.0,0.0,,Exclusivo semipiso en Barrio Parque con vistas abiertas y excelente luminosidad,,3 dorm. 50 años 3 baños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argenprop,19344625,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625,2026-08-13T15:44:44+00:00,venta,departamento,330000.0,USD,USD 330.000 + $203.300 expensas,203300.0,ARS,"ARAOZ 1200, Piso 8",ARAOZ,1200,8,palermo,"Departamento en Venta en Palermo, Capital Federal",14,Capital Federal,,,90.0,90.0,,3.0,,,0.0,1.0,3666.67,Araoz 1268,,90 m² cubie. 3 dorm. A Estrenar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
