portal,id_aviso,url,fecha_scraping,operacion,tipo_propiedad,precio_valor,precio_moneda,precio_texto,expensas_valor,expensas_moneda,direccion,calle,altura,piso,barrio,barrio_raw,comuna,localidad,latitud,longitud,sup_total_m2,sup_cubierta_m2,ambientes,dormitorios,banos,cocheras,antiguedad_anios,es_a_estrenar,precio_m2,titulo,descripcion,detalles,amenities,pileta,parrilla,gimnasio,sum,losa_radiante,aire_acondicionado,apto_credito,apto_profesional,cochera_txt,baulera,seguridad,luminoso,balcon,a_reciclar,reciclado,credito_uva,frente,amoblado,patio_jardin,ascensor,profesional_renta
mercadolibre,MLA3700630222,https://departamento.mercadolibre.com.ar/MLA-3700630222-edificio-palermo-_JM,2026-08-13T15:44:19+00:00,venta,departamento,826800.0,ARS,US$ 826.800,,,Departamento en venta,Departamento en venta,,,palermo,"Cabello Esq Rep. Árabe Siria, Palermo, Capital Federal",14,Capital Federal,,,166.0,,4.0,,4,,,,4980.72,Edificio - Palermo,,4 ambs. | 3 a 4 baños | 139 - 166 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3700630224,https://departamento.mercadolibre.com.ar/MLA-3700630224-emprendimiento-de-viviendas-de-primera-categoria-en-una-excelente-ubicacion-_JM,2026-08-13T15:44:19+00:00,venta,departamento,582300.0,ARS,US$ 582.300,,,Departamento en venta,Departamento en venta,,,palermo,"Cabello Y Lafinur, Palermo, Capital Federal",14,Capital Federal,,,205.0,,4.0,,3,,,,2840.49,Emprendimiento De Viviendas De Primera Categoría En Una Excelente Ubicación.,,3 a 4 ambs. | 2 a 3 baños | 83 - 205 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3700109208,https://departamento.mercadolibre.com.ar/MLA-3700109208-espai-encalada-edificio-en-urquiza-r-_JM,2026-08-13T15:44:19+00:00,venta,departamento,93415.0,ARS,US$ 93.415,,,Departamento en venta,Departamento en venta,,,villa urquiza,"Blanco Encalada 5540, Villa Urquiza, Capital Federal",12,Capital Federal,,,32.0,,1.0,,1,,,,2919.22,Espai Encalada- Edificio En Urquiza R,,1 amb. | 1 baño | 30 - 32 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3664437108,https://departamento.mercadolibre.com.ar/MLA-3664437108-edificio-en-colegiales-_JM,2026-08-13T15:44:19+00:00,venta,departamento,335000.0,ARS,US$ 335.000,,,Departamento en venta,Departamento en venta,,,colegiales,"Freire 1470, Colegiales, Capital Federal",13,Capital Federal,,,194.0,,1.0,4.0,4,,,,1726.8,Edificio En Colegiales,,Monoambiente a 4 dormitorios | 4 baños | 92 - 194 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3654987768,https://departamento.mercadolibre.com.ar/MLA-3654987768-edificio-en-recoleta-_JM,2026-08-13T15:44:19+00:00,venta,departamento,73970.0,ARS,US$ 73.970,,,Departamento en venta,Departamento en venta,,,recoleta,"Venta Departamento En Pozo Recoleta, Recoleta, Capital Federal",2,Capital Federal,,,27.0,,,,1,,0.0,1.0,2739.63,Edificio En Recoleta,,1 baño | 19 - 27 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA1911125009,https://departamento.mercadolibre.com.ar/MLA-1911125009-uno-y-dos-ambientes-a-estrenar-en-2027-caballito-_JM,2026-08-13T15:44:19+00:00,venta,departamento,57200.0,ARS,US$ 57.200,,,Departamento en venta,Departamento en venta,,,caballito,"Zuviría 700, Caballito, Capital Federal",6,Capital Federal,,,51.0,,2.0,,1,,0.0,1.0,1121.57,Uno Y Dos Ambientes A Estrenar En 2027 Caballito,,1 a 2 ambs. | 1 baño | 22 - 51 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3624262478,https://departamento.mercadolibre.com.ar/MLA-3624262478-edificio-en-palermo-_JM,2026-08-13T15:44:19+00:00,venta,departamento,133705.0,ARS,US$ 133.705,,,Departamento en venta,Departamento en venta,,,palermo,"Avenida Dorrego 1516, Palermo, Capital Federal",14,Capital Federal,,,92.0,,4.0,,2,,,,1453.32,Edificio En Palermo,,1 a 4 ambs. | 1 a 2 baños | 33 - 92 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3617154066,https://departamento.mercadolibre.com.ar/MLA-3617154066-champ-recolett-_JM,2026-08-13T15:44:19+00:00,venta,departamento,392060.0,ARS,US$ 392.060,,,Departamento en venta,Departamento en venta,,,recoleta,"Av. Las Heras 1683, Recoleta, Capital Federal",2,Capital Federal,,,214.0,,5.0,,4,,,,1832.06,Champ Recolett,,3 a 5 ambs. | 1 a 4 baños | 84 - 214 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA3605809934,https://departamento.mercadolibre.com.ar/MLA-3605809934-edificio-en-nunez-_JM,2026-08-13T15:44:19+00:00,venta,departamento,113100.0,ARS,US$ 113.100,,,Departamento en venta,Departamento en venta,,,nunez,"AV LIBERTADOR 6514, Núñez, Capital Federal",13,Capital Federal,,,75.0,,2.0,,1,,,,1508.0,Edificio En Nuñez,,1 a 2 ambs. | 1 baño | 29 - 75 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA1880524739,https://departamento.mercadolibre.com.ar/MLA-1880524739-edificio-caballito-norte-_JM,2026-08-13T15:44:19+00:00,venta,departamento,330000.0,ARS,US$ 330.000,,,Departamento en venta,Departamento en venta,,,caballito,"Segui 665, Caballito, Capital Federal",6,Capital Federal,,,121.0,,4.0,,2,,,,2727.27,Edificio - Caballito Norte,,4 ambs. | 2 baños | 121 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercadolibre,MLA1871825551,https://departamento.mercadolibre.com.ar/MLA-1871825551-increible-emprendimiento-en-la-mejor-esquina-de-palermo-hollywood-_JM,2026-08-13T15:44:19+00:00,venta,departamento,240000.0,ARS,US$ 240.000,,,Departamento en venta,Departamento en venta,,,palermo,"Guatemala 5495, Palermo Hollywood, Capital Federal",14,Capital Federal,,,50.0,,2.0,,1,,,,4800.0,Increíble Emprendimiento En La Mejor Esquina De Palermo Hollywood,,2 ambs. | 1 baño | 45 - 50 m² cubiertos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
