portal,id_aviso,url,fecha_scraping,operacion,tipo_propiedad,precio_valor,precio_moneda,precio_texto,expensas_valor,expensas_moneda,direccion,calle,altura,piso,barrio,barrio_raw,comuna,localidad,latitud,longitud,sup_total_m2,sup_cubierta_m2,ambientes,dormitorios,banos,cocheras,antiguedad_anios,es_a_estrenar,precio_m2,titulo,descripcion,detalles,amenities,pileta,parrilla,gimnasio,sum,losa_radiante,aire_acondicionado,apto_credito,apto_profesional,cochera_txt,baulera,seguridad,luminoso,balcon,a_reciclar,reciclado,credito_uva,frente,amoblado,patio_jardin,ascensor,profesional_renta
remax,ffcf6f2a-5aab-47c3-9c54-1c3738d6e30f,https://www.remax.com.ar/listings/alquiler-oficina-premiun-plaza-san-martin-retiro,2026-08-13T22:30:20+00:00,alquiler,oficina,1650.0,USD,USD 1650.0,500000.0,ARS,Suipacha 1000,Suipacha,1000,,,Plaza San Martín,,Capital Federal,-34.5994195,-58.3797175,116.03,107.24,,,2,,,,14.22,ALQUILER OFICINA PREMIUN PLAZA SAN MARTIN RETIRO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remax,ffc5880a-fe06-4126-b85c-f88683fa441a,https://www.remax.com.ar/listings/alquiler-departamento-2-amb-quartier-san-telmo,2026-08-13T22:30:20+00:00,alquiler,departamento_estandar,1130000.0,ARS,ARS 1130000.0,428000.0,ARS,Avenida Juan de Garay 700,Avenida Juan de Garay,700,,san telmo,San Telmo,1.0,Capital Federal,-34.6246652,-58.3752532,45.0,42.0,2.0,,1,,,,25111.11,ALQUILER DEPARTAMENTO 2 AMB QUARTIER SAN TELMO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remax,ff9edb2e-da48-42d3-ad3c-4084ba4fe342,https://www.remax.com.ar/listings/alquiler-oficina-premium-palermo-a-estrenar,2026-08-13T22:30:20+00:00,alquiler,oficina,900.0,USD,USD 900.0,400000.0,ARS,Godoy Cruz 2800,Godoy Cruz,2800,,palermo,Palermo Nuevo,14.0,Capital Federal,-34.576804145637,-58.424048423112,57.4,52.0,,,1,,,,15.68,"Alquiler oficina premium, Palermo a estrenar",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remax,ff8d63d5-a06f-4bc5-a007-925fab471cff,https://www.remax.com.ar/listings/local-comercial-en-alquiler-liniers,2026-08-13T22:30:20+00:00,alquiler,local,390000.0,ARS,ARS 390000.0,91000.0,ARS,Cuzco 0,Cuzco,0,,liniers,Liniers,9.0,Capital Federal,-34.638665,-58.5276588,27.0,27.0,,,0,,,,14444.44,Local comercial en Alquiler Liniers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remax,ff82d72c-0192-4032-8263-f3032f1a9cbf,https://www.remax.com.ar/listings/alquiler-2-ambientes-luminoso,2026-08-13T22:30:20+00:00,alquiler,departamento_estandar,600000.0,ARS,ARS 600000.0,169000.0,ARS,Teniente General Juan Domingo Perón 1500,Teniente General Juan Domingo Perón,1500,,san nicolas,San Nicolás,1.0,Capital Federal,-34.6067001,-58.3888477,37.0,37.0,2.0,,1,,,,16216.22,Alquiler 2 ambientes – Luminoso -,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
remax,ff678016-26b6-4498-8def-aadf5e3f38a3,https://www.remax.com.ar/listings/alquiler-monoambiente-amoblado-nunez,2026-08-13T22:30:20+00:00,alquiler,departamento_monoambiente,630.0,USD,USD 630.0,140000.0,ARS,Avenida del Libertador 6800,Avenida del Libertador,6800,,nunez,Nuñez,13.0,Capital Federal,-34.5493977,-58.4545863,40.5,36.0,1.0,,1,,,,15.56,ALQUILER MONOAMBIENTE AMOBLADO NÚÑEZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
remax,ff660a85-172e-4b51-be32-538903d8e18a,https://www.remax.com.ar/listings/depto-4-amb-alquiler-con-cochera-baulera-v-urquiza,2026-08-13T22:30:20+00:00,alquiler,departamento_estandar,1200000.0,ARS,ARS 1200000.0,326000.0,ARS,Blanco Encalada 4700,Blanco Encalada,4700,,villa urquiza,Villa Urquiza,12.0,Capital Federal,-34.573315309877,-58.482759833123,74.57,66.42,4.0,,1,1.0,,,16092.26,DEPTO 4 AMB ALQUILER CON COCHERA BAULERA V URQUIZA,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
remax,ff593736-ddbc-4880-947e-8e7b7479d202,https://www.remax.com.ar/listings/2-ambientes-en-alquiler-en-caballito,2026-08-13T22:30:20+00:00,alquiler,departamento_estandar,850000.0,ARS,ARS 850000.0,340000.0,ARS,Del Barco Centenera 500,Del Barco Centenera,500,,caballito,Caballito Sur,6.0,Capital Federal,-34.6252204,-58.4402378,45.59,39.66,2.0,,1,,,,18644.44,2 ambientes en Alquiler en Caballito,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remax,ff242f4b-3b27-4a32-9df5-24c5cadeefba,https://www.remax.com.ar/listings/dep-de-3-ambientes-en-alquiler-con-jardin-privado,2026-08-13T22:30:24+00:00,alquiler,departamento_estandar,1500.0,USD,USD 1500.0,420.0,ARS,Avenida Raúl Scalabrini Ortiz 2400,Avenida Raúl Scalabrini Ortiz,2400,,,Botánico,,Capital Federal,-34.5857142,-58.4164762,103.0,103.0,3.0,,1,,,,14.56,DEP. DE 3 AMBIENTES EN ALQUILER CON JARDÍN PRIVADO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
remax,ff1fc363-e97a-48d3-9eb8-12d263d6d43b,https://www.remax.com.ar/listings/departamento-en-alquiler-dos-amb-c-balcon-flore,2026-08-13T22:30:24+00:00,alquiler,departamento_estandar,900000.0,ARS,ARS 900000.0,90000.0,ARS,Yerbal 2100,Yerbal,2100,,flores,Flores,7.0,Capital Federal,-34.6265345,-58.4602196,44.0,44.0,2.0,,1,,,,20454.55,departamento en alquiler dos amb. c. balcon Flore,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
remax,ff1c2a6b-64e1-4a44-a9ec-b84aae604b6b,https://www.remax.com.ar/listings/alquiler-oficina-belgrano-5-ambientes,2026-08-13T22:30:24+00:00,alquiler,oficina,2300.0,USD,USD 2300.0,199700.0,ARS,La Pampa 2800,La Pampa,2800,,recoleta,Barrio Norte,2.0,Capital Federal,-34.5685713,-58.4606389,94.0,94.0,,,2,,,,24.47,ALQUILER OFICINA BELGRANO 5 AMBIENTES,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remax,ff10d865-415e-4893-86e8-494abd600821,https://www.remax.com.ar/listings/alquiler-oficina-en-balvanera,2026-08-13T22:30:24+00:00,alquiler,oficina,300000.0,ARS,ARS 300000.0,60000.0,ARS,Avenida Corrientes 2300,Avenida Corrientes,2300,,balvanera,Balvanera,3.0,Capital Federal,-34.6049545,-58.3999045,32.74,32.74,,,1,,,,9163.1,ALQUILER OFICINA EN BALVANERA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
