portal,id_aviso,url,fecha_scraping,operacion,tipo_propiedad,precio_valor,precio_moneda,precio_texto,expensas_valor,expensas_moneda,direccion,calle,altura,piso,barrio,barrio_raw,comuna,localidad,latitud,longitud,sup_total_m2,sup_cubierta_m2,ambientes,dormitorios,banos,cocheras,antiguedad_anios,es_a_estrenar,precio_m2,titulo,descripcion,detalles,amenities,pileta,parrilla,gimnasio,sum,losa_radiante,aire_acondicionado,apto_credito,apto_profesional,cochera_txt,baulera,seguridad,luminoso,balcon,a_reciclar,reciclado,credito_uva,frente,amoblado,patio_jardin,ascensor,profesional_renta
zonaprop,59663808,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-semipiso-venta-5-ambientes-dependencia-59663808.html,2026-08-13T15:45:43+00:00,venta,Departamentos,378000.0,USD,378.000,673000.0,ARS,Av De Los Incas al 3100 - Piso 4,Av De Los Incas al 3100 -,,4,belgrano,Belgrano R,13,Capital Federal,-34.5712779,-58.4589918,150.0,150.0,5.0,4.0,3.0,1.0,,,2520.0,Semipiso - Venta - 5 Ambientes - Dependencia - Luminoso - Palier Privado - Belgrano R,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zonaprop,59542158,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-apto-profesional-belgrano-59542158.html,2026-08-13T15:45:43+00:00,venta,Departamentos,83500.0,USD,83.500,180000.0,ARS,Amenabar al 2400,Amenabar,2400,,belgrano,Belgrano,13,Capital Federal,-34.5595247,-58.4614488,25.0,22.0,1.0,,1.0,,,,3340.0,Venta Departamento Apto Profesional Belgrano,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,58429097,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-1-ambiente-en-villa-crespo-58429097.html,2026-08-13T15:45:43+00:00,venta,Departamentos,86400.0,USD,86.400,,,AV. SCALABRINI ORTIZ 550. Entre Ramirez de velazco y Aguirre,AV. SCALABRINI ORTIZ 550. Entre Ramirez de velazco y Aguirre,,,palermo,Palermo,14,Capital Federal,-34.598043,-58.436154,34.0,29.0,1.0,,1.0,,,,2541.18,Venta de Departamento 1 Ambiente en Villa Crespo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,56275851,https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-caballito-plaza-56275851.html,2026-08-13T15:45:43+00:00,venta,Desarrollos verticales,101000.0,USD,101.000,,,Avellaneda 1285,Avellaneda,1285,,caballito,Caballito Norte,6,Capital Federal,-34.6185227,-58.4501094,,,,,,,,,,Caballito Plaza,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,58751672,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oppel-departamento-en-venta-belgrano-capital-58751672.html,2026-08-13T15:45:43+00:00,venta,Departamentos,159000.0,USD,159.000,208800.0,ARS,ARTILLEROS 2100. Entre Y Juramento,ARTILLEROS 2100. Entre Y Juramento,,,belgrano,Belgrano,13,Capital Federal,-34.55452290909,-58.44449653328,85.0,74.0,4.0,3.0,2.0,,,,1870.59,Oppel | Departamento en Venta | Belgrano Capital Federal | Cod: 33820,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,58816968,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-4-ambientes.-av-independencia-al-1500-58816968.html,2026-08-13T15:45:43+00:00,venta,Departamentos,383000.0,USD,383.000,,,AV. INDEPENDENCIA 1520. Entre Pres. Luis Saénz Peña y Virrey Cevallos,AV. INDEPENDENCIA 1520. Entre Pres. Luis Saénz Peña y Virrey Cevallos,,,san cristobal,San Cristobal,3,Capital Federal,-34.6179475,-58.38779520000003,152.0,125.0,4.0,3.0,3.0,,,,2519.74,Departamento 4 Ambientes. | Av Independencia Al 1500,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,58838164,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-nunez-58838164.html,2026-08-13T15:45:43+00:00,venta,Departamentos,215000.0,USD,215.000,0.0,,Guayra al 1700,Guayra,1700,,nunez,Núñez,13,Capital Federal,-34.5492944,-58.457973,62.0,53.0,2.0,1.0,1.0,,,,3467.74,Departamento en Nuñez,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,59757505,https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-cuba-2665-en-construccion-unidades-de-1-2-y-3-59757505.html,2026-08-13T15:45:43+00:00,venta,Desarrollos verticales,179000.0,USD,179.000,,,Cuba 2665,Cuba,2665,,belgrano,Belgrano,13,Capital Federal,-34.5555812,-58.4591855,,,3.0,,,,0.0,1.0,,"Cuba 2665 + en Construcción | Unidades de 1, 2 y 3 Ambientes",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,59267448,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-nunez-59267448.html,2026-08-13T15:45:43+00:00,venta,Departamentos,109900.0,USD,109.900,0.0,,Vedia al 2300,Vedia,2300,,nunez,Núñez,13,Capital Federal,-34.5395857,-58.4743772,43.0,35.0,2.0,1.0,1.0,,,,2555.81,Departamento en Nuñez,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zonaprop,59519757,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-av-del-libertador-y-montevideo-59519757.html,2026-08-13T15:45:43+00:00,venta,Departamentos,99000.0,USD,99.000,287253.0,ARS,Av. del Libertador al 700,Av. del Libertador,700,,recoleta,Recoleta,2,Capital Federal,-34.5880344,-58.3836235,27.0,27.0,1.0,1.0,1.0,,,,3666.67,Av del Libertador y Montevideo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
