Precio	Expensas	Calle	Altura	Piso	Detalles	Descripción	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 2.400.000	+ $2.200.000	Jerónimo Salguero	2700	0	300 m² cubie. 3 dorm. 17 años	TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO! Descripción “TORRE BELLINI” DE REVISTA! IMPECABLE PISO MUY ALTO! BALCÓN CON ESPECTACULAR VISTA PANORÁMICA A LA CIUDAD Y AL RÍO! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! TODO A NUEVO! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 Master suite con 2 vestidores! 1 Dormitorio en suite! 1 Dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full Amenities: Piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax, SUM, parrilla, juegos para niños, espacio verde, microcine, jaulas de golf y laundry! Calefacción y aire acondicionado central con regulación individual! Aberturas de aluminio con DVH! 2 Cocheras fijas y cubiertas! 2 Bauleras! Grupo electrógeno! 3 Ascensores! Estacionamiento de cortesía! El edificio cuenta con encargado y 2 ayudantes! Vigilancia 24hs! APTO CRÉDITO! Excelente ubicación! La mejor zona de Palermo! A metros de Av. Libertador y Plaza Alemania! ÚNICO! OPORTUNIDAD! * Esta propiedad posee rampa de acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204 Leer descripción completa Leer menos Pedir más datos al anunciante	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423	1	0	1	1	1	1	1	0
USD 175.000	+ $250.000	Juan Francisco Seguí	3900	0	90 m² cubie. 1 dorm. 40 años	IMPECABLE 2 AMBIENTES! ESPECTACULAR PATIO PROPIO CON JARDÍN! Todo a nuevo! Muy luminoso! ÚNICO! OPORT! Descripción IMPECABLE 2 AMBIENTES! ESPECTACULAR PATIO PROPIO CON JARDIN! Muy luminoso! Excelente distribución! TODO A NUEVO! Hall de entrada! Living-comedor! Baño completo a nuevo con ventilación natural! Dormitorio! Amplio placard! Cocina completa con barra desayunadora a nueva! Segundo patio con lavadero! Pisos de madera! 2 Splits frio-calor! Persianas eléctricas! El edificio cuenta con encargado! APTO CRÉDITO! Inmejorable ubicación! ÚNICO! OPORTUNIDAD! *Esta propiedad no posee acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204 Leer descripción completa Leer menos Pedir más datos al anunciante	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-2-ambientes--19974218	0	0	1	1	0	1	1	0
USD 800.000	N/A	República Árabe Siria	3100	1	171 m² cubie. 3 dorm. En pozo	Moderno departamento de 3 amb. en venta en Palermo Chico | Generado por IA BOHO BOTANICO Descripción BOHO BOTANICO PISO 1° ESPECTACULAR PISO DE 171 m2. Palier privado. Amplios balcones in/out con parrilla. Barandas de vidrio de seguridad. Imponente master suite con vestidor. 2 Dormitorios. Baño en suite con hidromasaje, ducha y doble bacha. Puerta de ingreso con cerradura biométrica. Domótica personalizada + Instalación especializada para Full Wifi. Cocina con isla central. Carpintería de aluminio anodizado con vidrio DVH. Espejos y herrajes de líneas rectas. Revestimiento de porcelanatos en grandes piezas. Mesadas y alzadas de cocina y baños en cuarzo. Alacenas y bajo mesadas en melamina texturada. Herrajes de primera línea. Placares en dormitorios con frentes corredizos. Sanitarios y griferías de primera marca, línea europea. Mamparas de vidrio templado. Instalación para lavarropas y lavavajillas bajo mesada. COCHERA FIJA Y CUBIERTA! La zona mas linda de Palermo! ÚNICO! OPORTUNIDAD! *Fecha de entrega estimada Abril 2026. Leer descripción completa Leer menos Pedir más datos al anunciante	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--10043598	1	0	0	0	1	0	0	0
USD 140.000	+ $358.000	Ugarteche	3000	0	60 m² cubie. 2 dorm. 40 años	IMPECABLE! Balcón al contrafrente al pulmón de manzana! Muy luminoso! Excelente distribución! Lavadero! ÚNICO! OPORT Descripción IMPECABLE! BALCÓN AL CONTRAFRENTE CON VISTA AL PULMÓN DE MANZANA! Excelente distribución! Muy Luminoso! Hall de entrada! Living-comedor! Baño completo! 2 Dormitorios! Amplios placares! Cocina completa! Lavadero independiente! 2 Splits frío/calor! Pisos de madera! El encargado vive en el edificio! 2 Ascensores! Apto crédito! INMEJORABLE UBICACIÓN! ÚNICO! OPORTUNIDAD! * Esta propiedad no posee acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matricula CUCICBA 2204 Leer descripción completa Leer menos Pedir más datos al anunciante	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-3-ambientes--16138779	0	0	1	1	0	1	1	0
USD 69.900	+ $165.000	Avenida Santa Fe	4400	0	50 años 1 baño Monoam.	Monoambiente Apto Profesional con Vista Abierta al Río- A metros de Plaza Italia- Descripción DEPARTAMENTO MONOAMBIENTE - APTO PROFESIONAL Av. Santa Fe 4437 Palermo - Ubicado en una de las zonas más buscadas de la ciudad, a metros de Plaza Italia y Puente Pacífico, con acceso inmediato a múltiples medios de transporte (Subte Línea D, Metrobus y principales avenidas), se presenta este departamento apto profesional, ideal tanto para vivienda como inversión. La unidad se destaca por su excelente luminosidad y vista abierta al río, lo que le aporta amplitud visual y calidad de vida. Cuenta con: -Ambiente amplio y funcional, con excelente entrada de luz natural -Vista abierta con orientación privilegiada -Cocina integrada, práctica y bien resuelta -Baño completo -Sistema de losa radiante, que garantiza confort térmico -Aire acondicionado instalado -Su condición de apto profesional lo convierte en una opción versátil: ideal para uso residencial, consultorio u oficina. Apto profesional Muy luminoso Excelente conectividad Ubicación premium SERVICIOS PROFESIONALES Tasaciones judiciales y profesionales – Sucesiones – Operaciones simultáneas – Alquileres – Administración – Trámites notariales – Asesoramiento integral sin costo. CUCICBA Mat. 7402 Emanuel Villalba - Villalba Soluciones Inmobiliarias El inmueble publicado no es accesible para personas con capacidades físicas reducidas. El inmueble publicado no es accesible para personas con capacidades físicas reducidas. Las descripciones arquitectónicas y funcionales, así como los valores de expensas, impuestos, servicios, fotografías y medidas de este inmueble, son aproximados. La información ha sido proporcionada por el propietario y puede no estar actualizada al momento de su visualización. El interesado deberá realizar las verificaciones correspondientes antes de concretar cualquier operación. Leer descripción completa Leer menos Pedir más datos al anunciante	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19548301	0	1	1	0	0	0	1	0
USD 155.000	+ $55.000	Nicaragua	4400	0	2 dorm. 2 baños 3 ambientes	DEPARTAMENTO 3 AMBIENTES CON BALCÓN + DEPENDENCIA- EXCELENTE DISTRIBUCIÓN Descripción DEPARTAMENTO 3 AMBIENTES AL FRENTE CON BALCÓN CORRIDO, AMPLIOS AMBIENTES, DEPENDENCIA Y UBICACIÓN ESTRATÉGICA EN EL CORAZÓN DE PALERMO SOHO. IDEAL VIVIENDA O INVERSIÓN. 2° piso por escalera. Nicaragua 4472 Palermo Soho Excelente departamento de 3 ambientes con dependencia, ubicado en una de las zonas más buscadas de la ciudad, rodeado de propuestas gastronómicas, espacios verdes, medios de transporte y el perfil urbano característico de Palermo Soho. La propiedad se destaca por su distribución funcional, ambientes amplios y excelente luminosidad natural. Living comedor cómodo y luminoso. 2 dormitorios con placard. Cocina independiente con buen espacio de guardado. Dependencia de servicio / escritorio. Baño completo. Toilette o baño de servicio. Lavadero independiente. Muy buena ventilación en todos los ambientes. Terraza de uso común FICHA TÉCNICA - Living comedor: 5 x 4.10m - Cocina: 3.35 x 3.20 m - Hall de recepción: 3 x 1.70m - Baño completo: 2.10 x 0.70 m - Lavadero: 2.10 x 0.70 m - Dependencia: 2.50 x 3 m - Balcón: 7.70 x 1.20 m - Dormitorio: 3 x 3.60 m - Dormitorio: 3 x 3.50 m - Toilette: 2 x 1 m - Superficie Cubierta: 77 m2 - Sup Total: 85 m2 Ideal tanto para vivienda permanente como para inversión, por su ubicación estratégica y tipología muy buscada en el barrio. UBICACIÓN: Situado en pleno Palermo Soho, con cercanía a polos gastronómicos, comercios, plazas y múltiples medios de transporte. Una propiedad con metros, distribución y ubicación difícil de encontrar hoy en el barrio. Servicios inmobiliarios profesionales VSI CONSULTÁ POR: Sucesiones Tasaciones judiciales y profesionales Operaciones de compra-venta simultáneas Alquileres Administración de propiedades Trámites notariales Asesoramiento integral y gratuito CUCICBA Mat. 7402 Emanuel Villalba- Villalba Soluciones Inmobiliarias El inmueble publicado no es accesible para personas con capacidades físicas reducidas. Las descripciones arquitectónicas y funcionales, valores de expensas impuestos, servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización. El interesado deberá realizar las verificaciones previamente a realizar cualquier operación. Leer descripción completa Leer menos Pedir más datos al anunciante	https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19622671	0	0	0	0	0	0	1	0
USD 340.000	+ $320.000	Arévalo	1900	7	90 m² cubie. 2 dorm. 17 años	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--20075391	0	0	0	0	0	0	0	0
USD 135.000	+ $124.000	Santa Rosa	5100	0	46 m² cubie. 2 dorm. 54 años	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19829078	0	0	0	0	0	0	0	0
USD 1.120.000	+ $1.400.000	Tagle	2800	0	3 dorm. 50 años 3 baños	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-barrio-parque-5-ambientes--20180824	0	0	0	0	0	0	0	0
USD 330.000	+ $203.300	ARAOZ	1200	8	90 m² cubie. 3 dorm. A Estrenar	Sin descripción	https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625	0	0	0	0	0	0	0	0
